Seat 0: Row 0, Col 0
Seat 1: Row 0, Col 1
Seat 2: Row 0, Col 2
Seat 3: Row 0, Col 3
Seat 4: Row 0, Col 4
Seat 5: Row 0, Col 5
Seat 7: Row 0, Col 7
Seat 8: Row 0, Col 8
Seat 9: Row 0, Col 9
Seat 10: Row 0, Col 10
Seat 11: Row 0, Col 11
Seat 12: Row 0, Col 12
Seat 14: Row 0, Col 14
Seat 15: Row 0, Col 15
Seat 16: Row 0, Col 16
Seat 17: Row 0, Col 17
Seat 18: Row 0, Col 18
Seat 20: Row 0, Col 20
Seat 21: Row 0, Col 21
Seat 22: Row 0, Col 22
Seat 23: Row 0, Col 23
Seat 24: Row 0, Col 24
Seat 25: Row 0, Col 25
Seat 26: Row 0, Col 26
Seat 27: Row 0, Col 27
Seat 28: Row 0, Col 28
Seat 29: Row 0, Col 29
Seat 30: Row 0, Col 30
Seat 31: Row 0, Col 31
Seat 32: Row 0, Col 32
Seat 33: Row 0, Col 33
Seat 34: Row 0, Col 34
Seat 36: Row 0, Col 36
Seat 37: Row 0, Col 37
Seat 38: Row 0, Col 38
Seat 39: Row 0, Col 39
Seat 40: Row 0, Col 40
Seat 41: Row 0, Col 41
Seat 42: Row 0, Col 42
Seat 44: Row 0, Col 44
Seat 45: Row 0, Col 45
Seat 46: Row 0, Col 46
Seat 47: Row 0, Col 47
Seat 48: Row 0, Col 48
Seat 50: Row 0, Col 50
Seat 52: Row 0, Col 52
Seat 53: Row 0, Col 53
Seat 54: Row 0, Col 54
Seat 55: Row 0, Col 55
Seat 56: Row 0, Col 56
Seat 57: Row 0, Col 57
Seat 58: Row 0, Col 58
Seat 60: Row 0, Col 60
Seat 61: Row 0, Col 61
Seat 62: Row 0, Col 62
Seat 63: Row 0, Col 63
Seat 64: Row 0, Col 64
Seat 65: Row 0, Col 65
Seat 66: Row 0, Col 66
Seat 67: Row 0, Col 67
Seat 68: Row 0, Col 68
Seat 69: Row 0, Col 69
Seat 70: Row 0, Col 70
Seat 71: Row 0, Col 71
Seat 72: Row 0, Col 72
Seat 73: Row 0, Col 73
Seat 75: Row 0, Col 75
Seat 76: Row 0, Col 76
Seat 77: Row 0, Col 77
Seat 79: Row 0, Col 79
Seat 81: Row 0, Col 81
Seat 83: Row 0, Col 83
Seat 84: Row 0, Col 84
Seat 85: Row 0, Col 85
Seat 86: Row 0, Col 86
Seat 87: Row 0, Col 87
Seat 88: Row 0, Col 88
Seat 89: Row 0, Col 89
Seat 90: Row 0, Col 90
Seat 91: Row 0, Col 91
Seat 93: Row 0, Col 93
Seat 94: Row 0, Col 94
Seat 95: Row 0, Col 95
Seat 96: Row 0, Col 96
Seat 97: Row 0, Col 97
Seat 65536: Row 1, Col 0
Seat 65537: Row 1, Col 1
Seat 65538: Row 1, Col 2
Seat 65539: Row 1, Col 3
Seat 65540: Row 1, Col 4
Seat 65541: Row 1, Col 5
Seat 65543: Row 1, Col 7
Seat 65544: Row 1, Col 8
Seat 65545: Row 1, Col 9
Seat 65546: Row 1, Col 10
Seat 65547: Row 1, Col 11
Seat 65548: Row 1, Col 12
Seat 65550: Row 1, Col 14
Seat 65551: Row 1, Col 15
Seat 65552: Row 1, Col 16
Seat 65553: Row 1, Col 17
Seat 65554: Row 1, Col 18
Seat 65555: Row 1, Col 19
Seat 65556: Row 1, Col 20
Seat 65557: Row 1, Col 21
Seat 65558: Row 1, Col 22
Seat 65559: Row 1, Col 23
Seat 65560: Row 1, Col 24
Seat 65561: Row 1, Col 25
Seat 65562: Row 1, Col 26
Seat 65563: Row 1, Col 27
Seat 65564: Row 1, Col 28
Seat 65566: Row 1, Col 30
Seat 65567: Row 1, Col 31
Seat 65568: Row 1, Col 32
Seat 65569: Row 1, Col 33
Seat 65570: Row 1, Col 34
Seat 65572: Row 1, Col 36
Seat 65573: Row 1, Col 37
Seat 65574: Row 1, Col 38
Seat 65575: Row 1, Col 39
Seat 65576: Row 1, Col 40
Seat 65577: Row 1, Col 41
Seat 65578: Row 1, Col 42
Seat 65580: Row 1, Col 44
Seat 65581: Row 1, Col 45
Seat 65582: Row 1, Col 46
Seat 65583: Row 1, Col 47
Seat 65584: Row 1, Col 48
Seat 65585: Row 1, Col 49
Seat 65586: Row 1, Col 50
Seat 65587: Row 1, Col 51
Seat 65588: Row 1, Col 52
Seat 65589: Row 1, Col 53
Seat 65590: Row 1, Col 54
Seat 65591: Row 1, Col 55
Seat 65592: Row 1, Col 56
Seat 65593: Row 1, Col 57
Seat 65594: Row 1, Col 58
Seat 65595: Row 1, Col 59
Seat 65597: Row 1, Col 61
Seat 65598: Row 1, Col 62
Seat 65599: Row 1, Col 63
Seat 65600: Row 1, Col 64
Seat 65601: Row 1, Col 65
Seat 65602: Row 1, Col 66
Seat 65603: Row 1, Col 67
Seat 65604: Row 1, Col 68
Seat 65605: Row 1, Col 69
Seat 65606: Row 1, Col 70
Seat 65607: Row 1, Col 71
Seat 65608: Row 1, Col 72
Seat 65609: Row 1, Col 73
Seat 65610: Row 1, Col 74
Seat 65611: Row 1, Col 75
Seat 65612: Row 1, Col 76
Seat 65613: Row 1, Col 77
Seat 65614: Row 1, Col 78
Seat 65615: Row 1, Col 79
Seat 65617: Row 1, Col 81
Seat 65618: Row 1, Col 82
Seat 65619: Row 1, Col 83
Seat 65620: Row 1, Col 84
Seat 65621: Row 1, Col 85
Seat 65622: Row 1, Col 86
Seat 65623: Row 1, Col 87
Seat 65624: Row 1, Col 88
Seat 65625: Row 1, Col 89
Seat 65626: Row 1, Col 90
Seat 65629: Row 1, Col 93
Seat 65630: Row 1, Col 94
Seat 65631: Row 1, Col 95
Seat 65632: Row 1, Col 96
Seat 65633: Row 1, Col 97
Seat 131072: Row 2, Col 0
Seat 131073: Row 2, Col 1
Seat 131074: Row 2, Col 2
Seat 131075: Row 2, Col 3
Seat 131076: Row 2, Col 4
Seat 131077: Row 2, Col 5
Seat 131078: Row 2, Col 6
Seat 131079: Row 2, Col 7
Seat 131080: Row 2, Col 8
Seat 131081: Row 2, Col 9
Seat 131082: Row 2, Col 10
Seat 131083: Row 2, Col 11
Seat 131084: Row 2, Col 12
Seat 131086: Row 2, Col 14
Seat 131088: Row 2, Col 16
Seat 131089: Row 2, Col 17
Seat 131090: Row 2, Col 18
Seat 131092: Row 2, Col 20
Seat 131093: Row 2, Col 21
Seat 131094: Row 2, Col 22
Seat 131095: Row 2, Col 23
Seat 131096: Row 2, Col 24
Seat 131097: Row 2, Col 25
Seat 131098: Row 2, Col 26
Seat 131099: Row 2, Col 27
Seat 131101: Row 2, Col 29
Seat 131102: Row 2, Col 30
Seat 131103: Row 2, Col 31
Seat 131104: Row 2, Col 32
Seat 131105: Row 2, Col 33
Seat 131106: Row 2, Col 34
Seat 131107: Row 2, Col 35
Seat 131108: Row 2, Col 36
Seat 131109: Row 2, Col 37
Seat 131110: Row 2, Col 38
Seat 131111: Row 2, Col 39
Seat 131112: Row 2, Col 40
Seat 131113: Row 2, Col 41
Seat 131114: Row 2, Col 42
Seat 131116: Row 2, Col 44
Seat 131117: Row 2, Col 45
Seat 131118: Row 2, Col 46
Seat 131119: Row 2, Col 47
Seat 131120: Row 2, Col 48
Seat 131121: Row 2, Col 49
Seat 131122: Row 2, Col 50
Seat 131123: Row 2, Col 51
Seat 131124: Row 2, Col 52
Seat 131125: Row 2, Col 53
Seat 131127: Row 2, Col 55
Seat 131128: Row 2, Col 56
Seat 131129: Row 2, Col 57
Seat 131130: Row 2, Col 58
Seat 131131: Row 2, Col 59
Seat 131133: Row 2, Col 61
Seat 131134: Row 2, Col 62
Seat 131135: Row 2, Col 63
Seat 131136: Row 2, Col 64
Seat 131137: Row 2, Col 65
Seat 131138: Row 2, Col 66
Seat 131139: Row 2, Col 67
Seat 131140: Row 2, Col 68
Seat 131142: Row 2, Col 70
Seat 131143: Row 2, Col 71
Seat 131144: Row 2, Col 72
Seat 131145: Row 2, Col 73
Seat 131146: Row 2, Col 74
Seat 131147: Row 2, Col 75
Seat 131148: Row 2, Col 76
Seat 131149: Row 2, Col 77
Seat 131150: Row 2, Col 78
Seat 131151: Row 2, Col 79
Seat 131153: Row 2, Col 81
Seat 131154: Row 2, Col 82
Seat 131155: Row 2, Col 83
Seat 131156: Row 2, Col 84
Seat 131157: Row 2, Col 85
Seat 131159: Row 2, Col 87
Seat 131160: Row 2, Col 88
Seat 131161: Row 2, Col 89
Seat 131162: Row 2, Col 90
Seat 131163: Row 2, Col 91
Seat 131165: Row 2, Col 93
Seat 131166: Row 2, Col 94
Seat 131167: Row 2, Col 95
Seat 131168: Row 2, Col 96
Seat 131169: Row 2, Col 97
Seat 196608: Row 3, Col 0
Seat 196609: Row 3, Col 1
Seat 196610: Row 3, Col 2
Seat 196611: Row 3, Col 3
Seat 196612: Row 3, Col 4
Seat 196613: Row 3, Col 5
Seat 196615: Row 3, Col 7
Seat 196616: Row 3, Col 8
Seat 196617: Row 3, Col 9
Seat 196618: Row 3, Col 10
Seat 196619: Row 3, Col 11
Seat 196620: Row 3, Col 12
Seat 196621: Row 3, Col 13
Seat 196622: Row 3, Col 14
Seat 196623: Row 3, Col 15
Seat 196624: Row 3, Col 16
Seat 196625: Row 3, Col 17
Seat 196626: Row 3, Col 18
Seat 196628: Row 3, Col 20
Seat 196629: Row 3, Col 21
Seat 196630: Row 3, Col 22
Seat 196631: Row 3, Col 23
Seat 196632: Row 3, Col 24
Seat 196633: Row 3, Col 25
Seat 196634: Row 3, Col 26
Seat 196635: Row 3, Col 27
Seat 196637: Row 3, Col 29
Seat 196639: Row 3, Col 31
Seat 196640: Row 3, Col 32
Seat 196641: Row 3, Col 33
Seat 196642: Row 3, Col 34
Seat 196644: Row 3, Col 36
Seat 196645: Row 3, Col 37
Seat 196646: Row 3, Col 38
Seat 196647: Row 3, Col 39
Seat 196648: Row 3, Col 40
Seat 196649: Row 3, Col 41
Seat 196650: Row 3, Col 42
Seat 196651: Row 3, Col 43
Seat 196652: Row 3, Col 44
Seat 196653: Row 3, Col 45
Seat 196654: Row 3, Col 46
Seat 196655: Row 3, Col 47
Seat 196656: Row 3, Col 48
Seat 196658: Row 3, Col 50
Seat 196659: Row 3, Col 51
Seat 196660: Row 3, Col 52
Seat 196661: Row 3, Col 53
Seat 196663: Row 3, Col 55
Seat 196664: Row 3, Col 56
Seat 196665: Row 3, Col 57
Seat 196666: Row 3, Col 58
Seat 196667: Row 3, Col 59
Seat 196669: Row 3, Col 61
Seat 196670: Row 3, Col 62
Seat 196672: Row 3, Col 64
Seat 196673: Row 3, Col 65
Seat 196674: Row 3, Col 66
Seat 196675: Row 3, Col 67
Seat 196676: Row 3, Col 68
Seat 196678: Row 3, Col 70
Seat 196679: Row 3, Col 71
Seat 196680: Row 3, Col 72
Seat 196681: Row 3, Col 73
Seat 196682: Row 3, Col 74
Seat 196683: Row 3, Col 75
Seat 196684: Row 3, Col 76
Seat 196685: Row 3, Col 77
Seat 196686: Row 3, Col 78
